drama_id,drama_name,native_name,year,synopsis,genres,tags,director,sc_writer,country,type,tot_eps,ep_duration,start_dt,end_dt,aired_on,org_net,tot_user_score,tot_num_user,tot_watched,content_rt,rank,popularity
262575b8b777abd37ce931230f2e8965abd537452b12c27db78c21cda7e13cef,One Piece,ワンピース,2023,"The series follows the adventures of the fugitive Straw Hat Pirates, as they explore the dangerous oceans, lands and beyond in search of the ""One Piece"", a fabled treasure that will make their captain The King of the Pirates. But, the Navy is on their ship's tail and they are not the only crew searching for the One Piece. Armed with skills and unbreakable friendship, the Straw Hats are ready for the journey and even more ready to fight for their dreams together.","Action,  Adventure,  Comedy,  Fantasy","Pirate Male Lead, Friendship, Chasing A Dream, Treasure Hunting, Found Family, Teamwork, Adapted From A Manga, Skilled Fighter, Fight, Body Horror",,,Japan,Drama,8,3300,2023-08-31,2023-08-31,Thursday,Netflix,8.8,1509,3519,15+ - Teens 15 or older,164,3274
50883c78dafa552a54ba5b89ee2da9a0ef710e7129646d195fdaab49b4d311cf,Kisetsu no Nai Machi,季節のない街,2023,"It follows a group of people who are still living in temporary housing 12 years after a natural disaster called ""Nani"" destroyed their town.","Life,  Youth","Post-disaster, Miniseries, Adapted From A Novel",,,Japan,Drama,10,1560,2023-08-09,2023-08-09,Wednesday,Disney+,8.1,40,195,Not Yet Rated,41308,99999
42c81b43e3d4e0e1dd5bd83ade857606c77208a8aa492d2789cce8352f3ab444,Bokutachi no Konai Hoso,僕たちの校内放送,2023,"Konno Hiroya is a high school student who loves the radio and belongs the broadcasting club. When he is told by the teacher that the club must be disbanded he manages to negotiate and is granted a four month grace period before the club is to be abolished. Meanwhile, a trivial quarrel between Hiroya and his classmate Ooga Kenta ends up being broadcasted by accident, which in turn creates a petite buzz throughout the school and leads to the two working together on the schools lunchtime radio show.",,Miniseries,,,Japan,Drama,4,1800,2023-08-02,2023-08-23,Wednesday,Fuji TV,7.6,17,117,Not Yet Rated,46946,99999
b3466709f62870fa2ae606dba788e0ee39dd4ce028017a2b1437f1a5858c9ab4,Truck Girl,トラックガール,2023,"The daily life of young truck driver Kurate Jun, who works in the male-dominated truck logistics industry. She lives out her days in positivity, and enjoys partaking in drinks after work to wash away her fatigue.","Comedy,  Life,  Drama",Miniseries,,,Japan,Drama,6,1800,2023-07-20,2023-08-24,Thursday,Fuji TV,7.0,11,85,Not Yet Rated,57000,99999
085871f66f42465b6f1a07abd3c9cb55f3f9e90895ef83334386bd7cf6d6c8a7,"Mitaraike, Enjou Suru",御手洗家、炎上する,2023,"The Mitarai family are wealthy and they have run a hospital for generations. One day, their home burns down in a fire. 13 years later, Murata Anzu, from a housekeeper agency, is hired by Mitarai Makiko. She is the second wife of Mitarai Osamu. Murata Anzu soon begins to work at the Mitarai's home as a housekeeper. She has a secret purpose to work in their home.","Thriller,  Mystery,  Psychological,  Drama","Hikikomori Supporting Character, Housekeeper Female Lead, Stepfather-Stepson Relationship, Brothers' Relationship, Sisters' Relationship, Arson, Flashback To Past, Stepsibling Romance, Miniseries, Mother-Son Relationship",['Hirakawa Yuichiro'],['Kaneko Arisa'],Japan,Drama,8,3000,2023-07-13,2023-07-13,Thursday,Netflix,7.8,2036,3839,13+ - Teens 13 or older,3420,3074
21b56c4964c452c7a4575ccf97a371dcfd28bc090073934b45cefc6bc1216af5,Fixer Season 2,フィクサー Season2,2023,,"Mystery,  Drama","Miniseries, Investigation",['Nishiura Masaki'],['Inoue Yumiko'],Japan,Drama,5,,2023-07-09,2023-08-06,Sunday,WOWOW,8.0,6,41,Not Yet Rated,42328,99999
dddc530fe271e14d5594763e832014fc352008bfced2f4b8d2db2dabf0fae15e,Keibuho Daimajin,警部補ダイマジン,2023,"Daibajin is the ace of the Metropolitan Police Investigation Department. Daimajin (the great demon god) is a twist on that name and what he becomes known as because of his strength. The fiery Daimajin carries a strong sense of justice and quickly arrives at the crime scene before anyone else, but that is because he holds a dark secret he deals out his own punishment by killing the criminals who never get punished by the law. His secret is discovered by Saimon Hirayasu, a critical and apathetic assistant commissioner. Daimajin is somewhat coerced into becoming Hirayasus lackey and gets uncaringly used by him. Daimajin moves to the special order investigation group led by Hirayasu and, under his command, secretly puts an end to criminals that the police are really incapable of arresting. But by doing so, Daimajin will step into the dark side of the state and the police organization, which must never be messed with.","Action,  Mystery","Antihero Male Lead, Police Department Setting, Serial Killer Male Lead, Detective Supporting Character, Criminal Male Lead, Morally Ambiguous Male Lead, Detective Male Lead, Dark Fiction, Police Corruption, Slight Comedy",['Miike Takashi'],['Tokunaga Yuichi'],Japan,Drama,8,3600,2023-07-07,2023-09-01,Friday,TV Asahi,7.2,51,385,Not Yet Rated,54368,12340
f319adbaaa9c3abd559b3d8eb907d1e2d716099d1dd99ca476d69ad5502e17d8,Shumatsu Tabi no Gokui: Fufutte Sonna Kantan Janai Mono,週末旅の極意～夫婦ってそんな簡単じゃないもの～,2023,,Life,"Married Female Lead, Married Male Lead, Miniseries",['Aoki Tatsuya'],"['Brasilie Ann Yamada', 'Ito Nanoha']",Japan,Drama,8,1800,2023-07-06,2023-08-24,Thursday,TV Tokyo,6.5,4,31,Not Yet Rated,60812,99999
a2f1c7cee5134ff997daa580d96bdf94831963d662263156163ad09be5a127d0,Rhythm,リズム,2023,,"Comedy,  Life,  Drama",Miniseries,,,Japan,Drama,4,1800,2023-07-05,2023-07-26,Wednesday,Fuji TV,7.9,5,28,Not Yet Rated,42632,99999
8b048e2581e246d3dd2400f2f481d867d7aea0e0d9511f319ff0e84ef8cf15e8,DIY!!: Do It Yourself,DIY!! -どぅー・いっと・ゆあせるふ-,2023,"The Fourth Industrial Revolution has led to the development of cutting-edge technologies that have rapidly evolved the world. As a result, schools have begun incorporating these technologies into their curriculum, leaving behind the ways of the old. One such institution is the elite Yuyu Girls' Vocational High School, where both Serufu Yua and her childhood friend, Miku ""Purin"" Suride, have applied. Although the tech-savvy Purin is accepted to Yuyu High, the accident-prone Serufu is rejected and enters the traditional Gatagata Girls' High School instead, driving a wedge into their friendship.On her way to class one day, Serufu gets into a bike accident, and Rei Yasaku, a passerby who attends the same school, fixes her damaged bicycle. Serufu later finds out that Rei has a passion for old-fashioned crafts and is the head of the school's Do-It-Yourself (DIY) Clubwhich is in danger of closing due to a lack of members.Realizing that this may be her chance to repair her relationship with Purin, Serufu joins the club in hopes of creating projects that could bring them together once more. As the DIY Club welcomes new faces, Serufu learns to build not only handicrafts but also new friendships along the way!","Life,  Youth","Student Supporting Character, Student Female Lead, School Setting, Childhood Friends' Relationship, Female Centered Plot, Teenager Supporting Character, Teenager Female Lead, Craftsmanship, Adapted From An Anime, Miniseries",['Yoshino Mamoru'],['Nakamura Masatoshi'],Japan,Drama,8,1800,2023-07-05,2023-08-30,Wednesday,MBS TBS,7.7,23,124,Not Yet Rated,45920,99999
