actor_id,actor_name,drama_name,character_name,role
22b0a4ec-ed0a-44a0-a94d-6e40c0fb35b3,Inaki Godoy,One Piece,Monkey D. Luffy,Main Role
5dd17700-e9b2-4bcf-8e6a-338c9011c2a4,Mackenyu,One Piece,Roronoa Zoro,Main Role
5dd17700-e9b2-4bcf-8e6a-338c9011c2a4,Mackenyu,Ichikei no Karasu,"Ishikura Bunta/""Bun-chan"" [Court clerk, Tokyo District Court's third branch]",Support Role
5dd17700-e9b2-4bcf-8e6a-338c9011c2a4,Mackenyu,Re: Na mo Naki Sekai no End Roll: Half a Year Later,Sawada Makoto / Onose Makoto,Support Role
5dd17700-e9b2-4bcf-8e6a-338c9011c2a4,Mackenyu,Doki no Sakura,Kijima Aoi,Support Role
5dd17700-e9b2-4bcf-8e6a-338c9011c2a4,Mackenyu,Chihayafuru: Tsunagu,Wataya Arata,Main Role
5dd17700-e9b2-4bcf-8e6a-338c9011c2a4,Mackenyu,Todome no Kiss,Namiki Takauji,Support Role
5dd17700-e9b2-4bcf-8e6a-338c9011c2a4,Mackenyu,Todome no Parallel,Namiki Takauji,Main Role
5dd17700-e9b2-4bcf-8e6a-338c9011c2a4,Mackenyu,Bokutachi ga Yarimashita,Ichihashi Tetsuto,Main Role
5dd17700-e9b2-4bcf-8e6a-338c9011c2a4,Mackenyu,Aogeba Toutoshi,Ren Kitora,Main Role
5dd17700-e9b2-4bcf-8e6a-338c9011c2a4,Mackenyu,Ashita mo Kitto Kimi ni Koi wo Suru.,Shouta,Main Role
5dd17700-e9b2-4bcf-8e6a-338c9011c2a4,Mackenyu,Yume wo Ataeru,Masaaki,Support Role
5dd17700-e9b2-4bcf-8e6a-338c9011c2a4,Mackenyu,Hoiku Tantei 25-ji - Hanasaki Shinichiro wa nemurenai!!,Kamose Hitoshi,Support Role
c4a7a38d-5d01-4a0b-9b1a-c2929a4c0bc5,Emily Rudd,One Piece,Nami,Main Role
837f4dca-ee5d-4806-932c-3a42839ecd8f,Jacob Gibson,One Piece,Usopp,Main Role
3b4dc419-4013-4dfe-87bf-b1eff03cf2e0,Taz Skylar,One Piece,Sanji,Main Role
2fd6ed4c-5c0f-482d-a840-fcb139d3c7f3,Bianca Oosthuizen,One Piece,Sham,Support Role
56367d9b-2d7f-4045-8ed6-e11c113fcb8e,Ikematsu Sosuke,Kisetsu no Nai Machi,Hansuke / Shinsuke Tanaka,Main Role
56367d9b-2d7f-4045-8ed6-e11c113fcb8e,Ikematsu Sosuke,"Oliver na Inu, (Gosh!!) Konoyarou 2",Aoba Ippei,Main Role
56367d9b-2d7f-4045-8ed6-e11c113fcb8e,Ikematsu Sosuke,"Oliver na Inu, (Gosh!!) Konoyarou",Aoba Ippei,Main Role
56367d9b-2d7f-4045-8ed6-e11c113fcb8e,Ikematsu Sosuke,Miyamoto Kara Kimi e,Miyamoto Hiroshi,Main Role
56367d9b-2d7f-4045-8ed6-e11c113fcb8e,Ikematsu Sosuke,Gin to Kin,Tetsuo Morita,Main Role
56367d9b-2d7f-4045-8ed6-e11c113fcb8e,Ikematsu Sosuke,Death Note NEW GENERATION,Ryuzaki {Ishi},Main Role
56367d9b-2d7f-4045-8ed6-e11c113fcb8e,Ikematsu Sosuke,Uragiri no Machi,Sugawara Yuichi,Main Role
56367d9b-2d7f-4045-8ed6-e11c113fcb8e,Ikematsu Sosuke,MOZU,Kazuhiko Shingai,Support Role
a66f0378-bf25-4aa2-917a-d29aac73e2e7,Nakano Taiga,Kisetsu no Nai Machi,Tatsuya,Support Role
a66f0378-bf25-4aa2-917a-d29aac73e2e7,Nakano Taiga,Japanese Style,Kakioka Tetsuro,Main Role
a66f0378-bf25-4aa2-917a-d29aac73e2e7,Nakano Taiga,Hatsukoi no Akuma,Mabuchi Haruhi,Main Role
a66f0378-bf25-4aa2-917a-d29aac73e2e7,Nakano Taiga,Hirowareta Otoko,Matsudo Satoru,Main Role
a66f0378-bf25-4aa2-917a-d29aac73e2e7,Nakano Taiga,Kazoku Boshu Shimasu,Osanai Sosuke,Main Role
a66f0378-bf25-4aa2-917a-d29aac73e2e7,Nakano Taiga,Konto ga Hajimaru,Minowa Junpei,Main Role
a66f0378-bf25-4aa2-917a-d29aac73e2e7,Nakano Taiga,Kono Koi Atatamemasu ka,Shintani Makoto,Main Role
a66f0378-bf25-4aa2-917a-d29aac73e2e7,Nakano Taiga,Ano ko no Yume wo Mitan Desu,Yamasato Ryota,Main Role
a66f0378-bf25-4aa2-917a-d29aac73e2e7,Nakano Taiga,Kyo Kara Ore wa!!,Imai Katsutoshi,Support Role
a66f0378-bf25-4aa2-917a-d29aac73e2e7,Nakano Taiga,Yamagishi Desu ga Nani ka,Yamagishi Hiromu,Main Role
a66f0378-bf25-4aa2-917a-d29aac73e2e7,Nakano Taiga,Rental no Koi,Yamada Kosuke,Main Role
a66f0378-bf25-4aa2-917a-d29aac73e2e7,Nakano Taiga,Aogeba Toutoshi,Kinya Takamoku,Main Role
a66f0378-bf25-4aa2-917a-d29aac73e2e7,Nakano Taiga,Yutori Desu ga Nani ka,Yamagishi Hiromu [Masakazu's junior],Support Role
a66f0378-bf25-4aa2-917a-d29aac73e2e7,Nakano Taiga,Love Relationship,Kanazawa Kohei [Aoi and Shota's friend],Support Role
b2cbe482-ca04-40d8-956b-d7c169d07614,Watanabe Daichi,Kisetsu no Nai Machi,Okabe,Support Role
b2cbe482-ca04-40d8-956b-d7c169d07614,Watanabe Daichi,Sorette Pakuri Janai Desuka?,Itsuki Koji,Support Role
b2cbe482-ca04-40d8-956b-d7c169d07614,Watanabe Daichi,Subete Wasurete Shimau kara,Sawada,Support Role
b2cbe482-ca04-40d8-956b-d7c169d07614,Watanabe Daichi,Oyoge! Nishikigoi,Watanabe Takashi,Main Role
b2cbe482-ca04-40d8-956b-d7c169d07614,Watanabe Daichi,Romance Boufu Iki,Sato Tamio,Main Role
b2cbe482-ca04-40d8-956b-d7c169d07614,Watanabe Daichi,Sore Wasurete Kudasai tte Iimashitakedo,Dai,Support Role
b2cbe482-ca04-40d8-956b-d7c169d07614,Watanabe Daichi,Boku no Neechan,Tanizaki Tomoya,Support Role
b2cbe482-ca04-40d8-956b-d7c169d07614,Watanabe Daichi,Itaike ni Koishite,Kageyama Nobuhiro,Main Role
b2cbe482-ca04-40d8-956b-d7c169d07614,Watanabe Daichi,Haruka no Hikari,Tatsumi Ryotaro (Ep. 2),Guest Role
b2cbe482-ca04-40d8-956b-d7c169d07614,Watanabe Daichi,Beshari Gurashi,Tsujimoto Jun,Main Role
b2cbe482-ca04-40d8-956b-d7c169d07614,Watanabe Daichi,I Turn,Yanagi Naoki,Support Role
b2cbe482-ca04-40d8-956b-d7c169d07614,Watanabe Daichi,Sore o Ai to Machigaerukara,Higashi Terumichi,Support Role
b2cbe482-ca04-40d8-956b-d7c169d07614,Watanabe Daichi,Zombie ga Kita kara Jinsei Mitsumenaoshita Ken,Kanda-kun,Support Role
b2cbe482-ca04-40d8-956b-d7c169d07614,Watanabe Daichi,Love and Fortune,Aoi Futa,Support Role
b2cbe482-ca04-40d8-956b-d7c169d07614,Watanabe Daichi,Busujima Yuriko no Sekirara Nikki,Midori Haba,Main Role
3f7ee47e-19ee-470f-9668-10253115ad45,Sakai Maki,Kisetsu no Nai Machi,Shinobu,Support Role
3f7ee47e-19ee-470f-9668-10253115ad45,Sakai Maki,"Kazoku Dakara Aishitan Janakute, Aishita no ga Kazoku Datta",Kishimoto Hitomi,Support Role
3f7ee47e-19ee-470f-9668-10253115ad45,Sakai Maki,Kangoku no Ohimesama,Daimon Youko,Main Role
3f7ee47e-19ee-470f-9668-10253115ad45,Sakai Maki,"Hajimemashite, Aishiteimasu",Fuwa Haruyo,Support Role
3f7ee47e-19ee-470f-9668-10253115ad45,Sakai Maki,Fake Couple,Nanami Yaeko,Support Role
3f7ee47e-19ee-470f-9668-10253115ad45,Sakai Maki,Kaiki Renai Sakusen,Yuragi Akiko,Main Role
27ab7b21-c418-44d8-8074-c2318fd7e31d,Young Dais,Kisetsu no Nai Machi,Shingo,Support Role
27ab7b21-c418-44d8-8074-c2318fd7e31d,Young Dais,Ai Naki Mori de Sakebe,Jay,Support Role
ccdad3a2-90ec-4e06-928b-4486e2d64f21,Miura Toko,Kisetsu no Nai Machi,Katsuko,Support Role
ccdad3a2-90ec-4e06-928b-4486e2d64f21,Miura Toko,"Elpis: Kibou, Aruiwa Wazawai",Oyama Sakura / Cherry,Support Role
ccdad3a2-90ec-4e06-928b-4486e2d64f21,Miura Toko,Goodbye,Shizuka ,Support Role
ccdad3a2-90ec-4e06-928b-4486e2d64f21,Miura Toko,Kakuu OL Nikki,Makabe Kaori,Support Role
c200adf1-3795-404e-87ed-e4ca88a63f2e,Kido Taisei,Bokutachi no Konai Hoso,Konno Hiroya,Main Role
c200adf1-3795-404e-87ed-e4ca88a63f2e,Kido Taisei,First Love: Hatsukoi,Namiki Harumichi [Young],Support Role
52e5209c-0ac0-4562-b797-1c0f9276640f,Maeda Oshiro,Bokutachi no Konai Hoso,Oshiro Kenta,Support Role
52e5209c-0ac0-4562-b797-1c0f9276640f,Maeda Oshiro,Themis no Kyoshitsu: Legal Seishun Hakusho,Kiriya Junpei,Support Role
52e5209c-0ac0-4562-b797-1c0f9276640f,Maeda Oshiro,Ryosangata Riko: Puramo Joshi no Jinsei Kumitate Ki,Asai Yuki,Support Role
52e5209c-0ac0-4562-b797-1c0f9276640f,Maeda Oshiro,Kanakana,Kishibe Yusuke,Support Role
52e5209c-0ac0-4562-b797-1c0f9276640f,Maeda Oshiro,Kon Katsu Tantei,Yagami Shun,Support Role
52e5209c-0ac0-4562-b797-1c0f9276640f,Maeda Oshiro,Neko,Amane Koji,Main Role
52e5209c-0ac0-4562-b797-1c0f9276640f,Maeda Oshiro,Inochi Urimasu,Inoue Kaoru [High school student / Client],Support Role
52e5209c-0ac0-4562-b797-1c0f9276640f,Maeda Oshiro,Fukuyado Honpo - Kyoto Love Story,Iori Tomo,Support Role
52e5209c-0ac0-4562-b797-1c0f9276640f,Maeda Oshiro,"Ashita mo Kitto, Oishii Gohan - Gin no Spoon",Hayakawa Shirabe,Support Role
16491f37-5f8a-45b7-99b2-6961f2fd2d57,Nakata Seina,Bokutachi no Konai Hoso,Fujiwara Mizuki,Support Role
16491f37-5f8a-45b7-99b2-6961f2fd2d57,Nakata Seina,Sugisaki Hana no Satsukyu,Yuu (Ep. 2),Guest Role
16491f37-5f8a-45b7-99b2-6961f2fd2d57,Nakata Seina,Watashi no Shite Kurenai Pheromone Kareshi,Sakakibara Hitomi,Support Role
16491f37-5f8a-45b7-99b2-6961f2fd2d57,Nakata Seina,Zennin Nagaya,Onui,Main Role
78d9cc8d-67e6-4aa5-96e0-56ff9297d332,Yonekura Reia,Bokutachi no Konai Hoso,Natsukawa Akane,Support Role
b52e5b88-1542-4deb-8262-97e9a109a833,Endo Sakura,Truck Girl,Kurate Jun,Main Role
b52e5b88-1542-4deb-8262-97e9a109a833,Endo Sakura,"Moshimo, Ikemen Dake no Koukou ga Attara",Sakurai Kanna,Support Role
b52e5b88-1542-4deb-8262-97e9a109a833,Endo Sakura,Nonai Angels,Mukuchi,Main Role
b52e5b88-1542-4deb-8262-97e9a109a833,Endo Sakura,About Sam,Sam,Main Role
212547e2-bc36-44ab-990b-20a7eae2b18e,Mochizuki Ayumu,Truck Girl,Hirokawa Kanta,Support Role
212547e2-bc36-44ab-990b-20a7eae2b18e,Mochizuki Ayumu,Subscribe Kanojo,Kosuke,Support Role
212547e2-bc36-44ab-990b-20a7eae2b18e,Mochizuki Ayumu,Shachiku OL Chie Maru Nikki,Fujiki Ryo,Support Role
212547e2-bc36-44ab-990b-20a7eae2b18e,Mochizuki Ayumu,One Night Morning,{Honey Toast} Sudo Michitoshi (Ep. 2),Main Role
212547e2-bc36-44ab-990b-20a7eae2b18e,Mochizuki Ayumu,Ryosangata Riko: Puramo Joshi no Jinsei Kumitate Ki,Takagi Shinji,Support Role
212547e2-bc36-44ab-990b-20a7eae2b18e,Mochizuki Ayumu,17-sai no Teikoku,Hayashi Kan,Support Role
212547e2-bc36-44ab-990b-20a7eae2b18e,Mochizuki Ayumu,Kieta Hatsukoi,Toyoda Shun [Kousuke's childhood friend],Support Role
212547e2-bc36-44ab-990b-20a7eae2b18e,Mochizuki Ayumu,Dive!!,Maruyama Rage,Support Role
212547e2-bc36-44ab-990b-20a7eae2b18e,Mochizuki Ayumu,Itoshi no Nina,"Oshikawa Masayuki / ""Masa"" [Attsui's bestfriend]",Support Role
212547e2-bc36-44ab-990b-20a7eae2b18e,Mochizuki Ayumu,Nibiiro no Hako no Naka de,Shoji Satoru,Main Role
212547e2-bc36-44ab-990b-20a7eae2b18e,Mochizuki Ayumu,Juken Zombie,Asano Takumi,Support Role
212547e2-bc36-44ab-990b-20a7eae2b18e,Mochizuki Ayumu,Mob Psycho 100,Kageyama Ritsu,Support Role
98a66da7-448b-4e12-a939-7d53d4c0186c,Cookie,Truck Girl,[Pub Owner],Support Role
98a66da7-448b-4e12-a939-7d53d4c0186c,Cookie,Saving Rock,God of Rock,Support Role
