drama_id,drama_name,native_name,year,synopsis,genres,tags,director,sc_writer,country,type,tot_eps,ep_duration,start_dt,end_dt,aired_on,org_net,tot_user_score,tot_num_user,tot_watched,content_rt,rank,popularity
58ade740e5cbcf59fbb77a368eda2dcc6fa309414ccc9b0ddac15cc443a9f971,6ixtynin9,เรื่องตลก 69 เดอะซีรีส์,2023,"Because of the economic crisis, Toom has suddenly been laid off. Without money, she resorts to theft and her thoughts turn to suicide when, like a gift from the heavens, a mysterious instant noodle box turns up in front of room number sixher apartment. What she doesn't realise is that inside the box contains millions. Soon, a pair of unfriendly gangsters turn up looking for the box. ","Thriller,  Comedy,  Crime","Prolonged Nudity, MDL Remake, Miniseries, Nudity, Gore",,,Thailand,Drama,6,2820,6/9/23,6/9/23,Wednesday,Netflix,7.7,22,208,Not Yet Rated,44767,16608
30ab2bbc574434e89390ed739df8d1b4761d6ceb9e9f6b0e59b9646b761bde8d,Her,HER วิชานี้จบที่เธอ,2023,"After making a bet with her brother to find a boyfriend before graduating, Didi decides to take the class, Marriage and Family Relation, on the advice of her friend. Rumor has it that it is easy to find a lover in this class. Her first assignment is to give a report on going on a date with someone.",Romance,"LGBTQ+, Bisexual Female Lead, Short Length Series, Bet/Wager, Student Female Lead, Lesbian Female Lead, Lesbian Romance, Miniseries, Web Series",['Earth Wachirawit Kanthayom'],,Thailand,Drama,4,480,10/8/23,10/8/23,,,7.6,15,98,Not Yet Rated,46383,99999
b116bc3cc4a636b031a0810f3a6ceb6b5378f26dac9214273f1860e1c2395de0,Put Our Heart on the Paper,Put Our Heart on the Paper,2023,"Due to a severe case of writer's block, successful author Mind has had to search for a roommate to help her make rent. What she doesn't expect, however, is that her new roommate Cake is a big fan of her work. As they get closer, can Mind continue to keep her identity a secret? Will she even want to?",Romance,"Fan Female Lead, Roommates' Relationship, Writer Female Lead, Lesbian Female Lead, Lesbian Romance, LGBTQ+, Hidden Identity, Miniseries, Web Series, Airhead Female Lead",,,Thailand,Drama,4,480,5/8/23,26/8/23,Saturday,,7.2,20,96,Not Yet Rated,53342,99999
bf71a3f0058e7e3232a7a7f120d14feaa420186705e0f8f6b2710fa3d7dc84a0,Love in a Cage,กรงดอกสร้อย,2023,"Soiinthanin is a beautiful, smart, well-educated girl, who is the daughter of Saengfah, who owns the ""Yupharet"" house. But because her mother is only a mistress, and she is an illegitimate child, she spends her life in their house being oppressed and not experiencing the same privileges her half-sister Soifah gets.The miserable and painful life of her mother is not lost on her as she too finds herself facing the same fate when she falls for Soifah's fiance Phas, a man who has to marry her half-sister in order to maintain his noble family's honour. ","Historical,  Romance,  Drama","Illegitimate Female Lead, Adapted From A Novel, Love Triangle",['Adul Boonboot'],,Thailand,Drama,16,,21/7/23,25/8/23,"Friday, Saturday, Sunday",Channel 3,7.1,17,414,Not Yet Rated,55539,11892
44284144d629d1702501d670f57c5288927cd592872156cacdda434998e7ea2a,Wedding Plan,แผนการ(รัก)ร้ายของนายเจ้าบ่าว,2023,"Namnuea and Sailom are wedding planner and groom-to-be. Unbeknownst to Namnuea, bride-to-be Yiwa and Sailom are being set up by their families. However, Yiwa already has a lover, Marine. No matter his feelings for Sailom, Namnuea's duties come first. ","Comedy,  Romance","LGBTQ+, Wedding Planner Male Lead, Co-workers' Relationship, Childhood Friends' Relationship, Wedding Planner Supporting Character, Model Supporting Character, Gay Male Lead, Lesbian Supporting Character, Lesbian Romance, Gay Romance",['Ne Neti Suwanjinda'],,Thailand,Drama,7,2880,19/7/23,30/8/23,Wednesday,GMM 25 iQiyi,7.6,4168,10705,18+ Restricted (violence & profanity),4677,1270
1676e55aa05ff8be5c76d3a7f694cd35a60ba5c5d12dfade4c7df4b760bad1c0,Rak Nai Roi Luang,รักในรอยลวง,2023,"A secret has been trapped in her heart for a long time.It's about to be exposed.Because of one soul's game,a young man returns with vengeanceand with an agreement she shouldn't refuse.""He"" returns to take revengein the form of a haunted spirit.Threats use her guilt as a tool.He's confident his offer is cruel,giving her no way out.But this plan backfires and traps him instead.Fake love is created by hatred.An evil spirit holding secrets.How will she survive?","Thriller,  Mystery","Adapted From A Novel, Investigation, Suspense",,,Thailand,Drama,17,5100,18/7/23,5/9/23,"Monday, Tuesday",Channel 7,8.3,12,169,13+ - Teens 13 or older,39986,99999
4dced65164604e5c2a713b11887d25b020a771ba23d25e79986c18ade656252b,Tales of the Grandmaster,ดวงใจจอมกระบี่,2023,"Nalinya's life reaches a turning point when she accidentally falls off of the Ching Dao cliff. At the bottom, she meets a strange guy. He's no ordinary man, but a martial artist from the Chinese wuxia novel she's translating. Wang Yi Tian,  the leader of the Cloud Tiger sector, was assassinated in the martial world. However, by some miracle, he was brought into a new world. Here, he falls in love with Nalinya and begins to protect her as she too seems to be the target of assassination. ","Action,  Historical,  Romance,  Fantasy","Translator Female Lead, Fictional World, Martial Arts Master, Crossover, Martial Arts",['Wo Worawit Khuttiyayothin'],['Sirilux Srisukon'],Thailand,Drama,14,4200,17/7/23,29/8/23,"Monday, Tuesday",GMM One,7.1,16,239,G - All Ages,54605,15504
ad0ef1d37c6582bc29b4de5a067fb181ea78bfd6f866ff5642c243cfe44df496,Enigma,Enigma คน มนตร์ เวท,2023,"There is something wrong with Fa's high school; strange events have been happening around her. In which way are they related to the new teacher, Ajin?","Mystery,  Horror,  Youth,  Supernatural","Teenager Female Lead, High School, Black Magic, Student Supporting Character, Student Female Lead, School Setting, Exorcist Male Lead, Teenager Supporting Character, Age Gap [Drama Life], Age Gap [Real Life]",['Pat Thachai Komolphet'],['Mook Jarinee Thanomyat'],Thailand,Drama,4,2940,15/7/23,5/8/23,Saturday,Amazon Prime GMM 25,8.6,2383,8107,13+ - Teens 13 or older,395,1647
3d89f7173b3ec48c0c82f4be8575cd2a768ecc6e28c0b07e0bb9326c254b7e83,Laws of Attraction,กฎแห่งรักดึงดูด,2023,"Charn is a clever and ruthless lawyer inclined to accept high-paying and high-profile cases that will bring him renown. On one occasion, he's taken off a case as it's gaining widespread interest. Having lost face and opportunity, he's suspisious of the reason for his removal and wants to get his revenge. He suspects he can find something hidden within the case for his own profit. Charn therefore decides to switch sides to Tinn, the uncle of Tonkhao, a young girl who was struck and killed by a car and failed to recieve justice. The two come together to search for the truth. Despite holding opposing views, their closeness brings about new feelings. As their work becomes more and more dangerous, the two become certain that this case is not at all ordinary. ","Law,  Romance,  Drama","Morally Ambiguous Male Lead, Lawyer Male Lead, Money-Hungry Male Lead, Flirty Male Lead, Enemies To Lovers, Martial Artist Male Lead, Politician Supporting Character, Gay Male Lead, Vengeful Male Lead, Gay Romance",['Wo Worawit Khuttiyayothin'],"['Nueng Chawanon Sarapat', 'Sorawich Pinyomit', 'Oh Wantawil Suknoy', 'Thananant Kamsri']",Thailand,Drama,8,3300,15/7/23,2/9/23,Saturday,GMM One,8,2965,9574,G - All Ages,2149,1421
5eb764b93055f6ea054f01b282c858c187025630ec9c56e68cb0d4eeca1c2019,Low Frequency,คลื่นความถี่ต่ำ,2023,"Mon's life as a spirit-seeing interior decorator is full of headaches. On good days, he helps settle problems for his relative, who is a star manager. But he then gets involved with the spirit of Thames, a famous young actor whose body is lying unconscious in a hospital. Now, it seems like the Thames' spirit doesn't want to be just a soul that comes to ask for accommodation from Mon but also acts like his karma every time.","Mystery,  Romance,  Supernatural","Gay Male Lead, Ghost Male Lead, Gay Romance, LGBTQ+, Miniseries, Ghost-seeing Male Lead, Adapted From A Novel, Ghost, Investigation",,['Title Nirattisai Ratphithak'],Thailand,Drama,8,2640,8/7/23,26/8/23,Saturday,,6.7,1154,4854,18+ Restricted (violence & profanity),8930,2569
