drama_id,drama_name,native_name,year,synopsis,genres,tags,director,sc_writer,country,type,tot_eps,ep_duration,start_dt,end_dt,aired_on,org_net,tot_user_score,tot_num_user,tot_watched,content_rt,rank,popularity
a88aff33194c3804d091a0962cb318f009c4734fd6c3f1666e616156e70832b4,Mask Girl,마스크걸,2023,"Kim Mo Mi is an ordinary office woman with a severe sense of inferiority in appearance, and is caught up in various incidents while as an internet broadcast jockey with her face covered with a mask. Joo Oh Nam is Kim Mo Mis coworker. He harbors a one-sided crush on Kim Mo Mi. As a character who also feels inferior about his appearance and lacks presence in general, Joo Oh Nams only source of joy is watching internet broadcasts. He will get swept up in an unexpected incident with Kim Mo Mi.","Thriller,  Mystery,  Comedy,  Drama","Noir, Revenge, Suspense, Inferiority Complex, Fake Identity, Black Comedy, Live Streamer Female Lead, Insecure Female Lead, Secret Crush, Gore",,,South Korea,Drama,7,3600,18/8/23,18/8/23,Friday,Netflix,7.9,5814,13098,18+ Restricted (violence & profanity),2940,1052
c40001209622c610cb93d1a452fbdbaac4221c2c07e0383e23750533ae94d37e,Better Things,Better Things,2023,"Comprised of 3 episodes, the sitcom follows the story of four girls living together in a share house, where every day is full of fun and laughter.",Sitcom,"Short Length Series, Miniseries, Web Series",,,South Korea,Drama,3,960,7/8/23,11/8/23,"Monday, Wednesday, Friday",,8,16,44,Not Yet Rated,42186,99999
b7dd543d9b210dc0bb76dea6b9d9f0f12c3f8a6a9ea5fc3acec48e30e98365a9,My Dearest,연인,2023,"A love-story between a noblewoman and a mysterious man who shows up in her hometown set in the 1600s during the Qing invasion.Yu Gil Chae is a pretty, bubbly, and a bit spoiled young lady who's called the 99 tailed fox of Neunggun-ri. She is aslo a bit of an outcast because other young ladies are jealous of her. They seem to think she's too straightforward and her behavior is inappropriate for a young lady, while young noblemen think highly of her. Gil Chae knows how to get men to fall for her but fails to capture the heart of the person she likes.Lee Jang Hyun is a mysterious man who suddenly appears in the Neunggun-ri social scene. Nobody really knows anything about him. Young nobles don't like him but the elderly are wrapped around his finger. He's been dating around a lot, but he becomes curious about a certain 99 tailed fox, and one day, the said fox quite literally crash lands into his arms.Once war is brewing, the pair finds themselves separated before they could even start to make sense of their feelings.","Historical,  Romance,  Drama,  Melodrama","Joseon Dynasty, Qing Invasion Of Joseon, Historical Fiction, War, Realist Male Lead, Mature Male Lead, Determined Female Lead, Spoiled Female Lead, Strong Male Lead, Older Man/Younger Woman","['Kim Sung Yong', 'Lee Han Joon']",['Hwang Jin Young'],South Korea,Drama,10,4800,4/8/23,2/9/23,"Friday, Saturday",MBC,8.7,1680,8523,15+ - Teens 15 or older,187,1584
d3430eca6f6bcbe87ec5ddf0ebe3e8e8103a6f692611c3a7ec11a8a68647180e,Sing My Crush,따라바람,2023,"After a disastrous first encounter between Ba Ram and Han Tae during their school years, the two strike up an unlikely and close friendship in the aftermath. Years later, will Ba Ram be able to keep his crush on Han Tae a secret any longer?","Music,  Comedy,  Romance,  Youth","LGBTQ+, Band, High School To Working Life, Guitarist Male Lead, Musician Male Lead, Singer Male Lead, Talent Manager Male Lead, Gay Male Lead, Gay Romance, Secret Crush",['So Joon Moon'],,South Korea,Drama,8,1500,2/8/23,2/8/23,Wednesday,,8.1,3613,8224,Not Yet Rated,1885,1628
cce259e20612fd4f91b0eedebee3010286d87d27df971ecdd15008e295fd70f9,The Uncanny Counter Season 2: Counter Punch,카운터 펀치,2023,Evil spirits from the afterlife arrive on Earth in search of an immortal existence. The story follows a group of counters who are tasked with catching these malevolent entities. ,"Action,  Mystery,  Comedy,  Supernatural","Dark Fantasy, Fantasy, Evil Spirit, Drama, Friendship, Slasher Film, Noir, Adapted From A Webtoon, Thriller, Suspense",['Yoo Seon Dong'],"['Kim Sae Bom', 'Yeo Ji Na']",South Korea,Drama,12,4200,29/7/23,3/9/23,"Saturday, Sunday",Netflix OCN tvN,8.5,5542,27408,15+ - Teens 15 or older,571,420
8846b4c3e4a541c2bcdcba1fbc8eb962682dfd2b22267dc30008bc56141bb578,D.P. Season 2,디피 시즌2,2023,"This unfolding story ensues when military desertion arrest squad members (DP), Jun Ho and Ho Yeol, run across absurdities and unchangeable reality on a regular basis.","Action,  Military,  Drama","Male Centered Plot, Post-traumatic Stress Disorder",,['Kim Bo Tong'],South Korea,Drama,6,3000,28/7/23,28/7/23,Friday,Netflix,8.7,6619,15403,15+ - Teens 15 or older,202,892
05c19d64ff92f34717bc81b0431783cdb547bd51186557ebb37d0a2cc394acfd,Longing for You,오랫동안 당신을 기다렸습니다,2023,"A detective who was chasing the real culprit of a serial murder case faces the hidden secret of his family. Jin Sung is a cheerful yet nasty-tempered detective at Woojin Police Station who fights for justice with all his heart. Meanwhile, Young Ju is a competent prosecutor with a high winning rate who believes that injustice must be punished through injustice. She is also an old friend of Jin Sung and Jin Woo. Jin Sung transfers to a special investigation team in Seoul for serial murder cases and carries out the investigation with Young Ju. However, Jin Woo, Jin Sung's brother, gets arrested as a suspect of the serial murders.","Action,  Thriller,  Mystery,  Drama","Professional Male Lead, Childhood Friends' Relationship, Countryside Setting, Dentist Male Lead, Hospital Director Female Lead, Prosecutor Supporting Character, Reporter Male Lead, Prosecutor Female Lead, Prosecutor Male Lead, Detective Male Lead","['Han Cheol Soo', 'Kim Yong Min']",['Kwon Min Soo'],South Korea,Drama,14,4200,26/7/23,7/9/23,"Wednesday, Thursday",ENA Genie TV TVING Viki,7.5,496,5024,15+ - Teens 15 or older,5254,2468
acf58b578cd9e1ed33d29fb122d81e13ca2d126ace62bc26d3b718e88ab507c5,Jun & Jun,준과 준,2023,"His childhood first love, Choi Jun, who disappeared without a word, returned as a hot general manager! An office rom-com about idol-turned-intern Lee Jun and Choi Jun, a heart-fluttering genius director.","Comedy,  Romance","Gay Romance, LGBTQ+, Workplace Romance, Web Series, Boss-Employee Relationship, Intern Male Lead, Cosmetic Industry, Male Chase Male First, Former Celebrity Male Lead, Workplace Setting",['Kim Eun Hye'],['Yoon Na Ra'],South Korea,Drama,8,1500,20/7/23,7/9/23,Thursday,,7.5,2181,13300,Not Yet Rated,5332,1035
c7ede44dd085f45b69db0b8acbc31cee8c52236fc6e1bece45cfe91ea40e5989,Not Others,남남,2023,"When high school student Kim Eun Mi discovered that she was pregnant, her entire life changed in an instant. Determined to keep her baby, Eun Mi did just that. Raising her daughter, Jin Hee, on her own, the two have quite literally grown up together.Now in her forties, Eun Mi works as a physical therapist while twenty-nine-year-old Jin Hee works as an officer at the Namchon Police Substation. Despite being an adult herself, Jin Hee still lives with her mother; a fact which leads to an endless stream of bickering between the two. Though both mother and daughter will agree that they love each other dearly, the two just cant seem to find a way to get along these days.As if struggling to find a way to deal with her daughter wasnt enough, Eun Mis life takes a complicated turn when Dr. Park Jin Hong suddenly appears before her. While Eun Mi tries to make sense of the mysterious Dr. Park, Jin Hee struggles to find a way to get along with her works new director, Eun Jae Won.","Mystery,  Comedy,  Romance,  Drama","Mother-Daughter Relationship, Cohabitation, Single Mother Female Lead, Slice Of Life, Police Officer Female Lead, First Love Returns, Police Officer Male Lead, Family, Police Patrol Division, Bickering Mains' Relationship",['Lee Min Woo'],['Min Sun Ae'],South Korea,Drama,12,3600,17/7/23,22/8/23,"Monday, Tuesday",ENA Genie TV Hulu,8.1,3419,10109,15+ - Teens 15 or older,1627,1343
bcb19f20e6a990a08bdfb58aa42829122f5e9224f646ea5d6719695d823c59e5,Shadow Detective Season 2,형사록 시즌2,2023,"Unfolds the ultimate counterattack of veteran homicide detective Kim Taek Rok, who has returned to investigate the secret mastermind behind the blackmailer 'Friend'.","Mystery,  Drama","Detective Fiction, Detective Male Lead, Miniseries, Investigation",['Han Dong Hwa'],"['Song Jung Woo', 'Hwang Seol Hun']",South Korea,Drama,8,3300,5/7/23,26/7/23,Wednesday,Disney+ Hulu,8,394,1254,15+ - Teens 15 or older,2313,6434
