actor_id,actor_name,drama_name,character_name,role
11c44c36-792f-43d6-b74c-452db4c1d60a,Lee Han Byeol,Mask Girl,Kim Mo Mi,Main Role
2baa1232-2c75-4471-b507-e413cc486d97,Go Hyun Jung,Mask Girl,Kim Mo Mi,Main Role
2baa1232-2c75-4471-b507-e413cc486d97,Go Hyun Jung,Reflection of You,Jung Hee Joo,Main Role
2baa1232-2c75-4471-b507-e413cc486d97,Go Hyun Jung,"My Lawyer, Mr. Jo 2: Crime and Punishment",Lee Ja Kyeong,Main Role
2baa1232-2c75-4471-b507-e413cc486d97,Go Hyun Jung,Return,Choi Ja Hye (Ep.1-15),Main Role
2baa1232-2c75-4471-b507-e413cc486d97,Go Hyun Jung,Dear My Friends,Park Wan,Main Role
ce2d3c32-1a2a-459b-93f3-7ef0798cc857,Nana,Mask Girl,Kim Mo Mi,Main Role
ce2d3c32-1a2a-459b-93f3-7ef0798cc857,Nana,Fall for You,Yoo Je Bi,Main Role
ce2d3c32-1a2a-459b-93f3-7ef0798cc857,Nana,Glitch,Heo Bo Ra,Main Role
ce2d3c32-1a2a-459b-93f3-7ef0798cc857,Nana,Mimicus,Shin Da Ra,Main Role
ce2d3c32-1a2a-459b-93f3-7ef0798cc857,Nana,Genesis,Yeo Rin,Main Role
ce2d3c32-1a2a-459b-93f3-7ef0798cc857,Nana,Oh My Ladylord,Oh Joo In,Main Role
ce2d3c32-1a2a-459b-93f3-7ef0798cc857,Nana,No Going Back Romance,Chae Bo Na,Main Role
ce2d3c32-1a2a-459b-93f3-7ef0798cc857,Nana,Into the Ring,Goo Se Ra,Main Role
ce2d3c32-1a2a-459b-93f3-7ef0798cc857,Nana,Justice,Seo Yeon Ah,Main Role
ce2d3c32-1a2a-459b-93f3-7ef0798cc857,Nana,Kill It,Do Hyun Jin / Lee Young Eun,Main Role
ce2d3c32-1a2a-459b-93f3-7ef0798cc857,Nana,The Good Wife,Kim Dan [MJ Law firm investigator],Support Role
9558df71-cbb9-4ecd-9d05-c3dfb4313e36,Ahn Jae Hong,Mask Girl,Joo Oh Nam,Main Role
9558df71-cbb9-4ecd-9d05-c3dfb4313e36,Ahn Jae Hong,Be Melodramatic,Son Beom Soo,Main Role
9558df71-cbb9-4ecd-9d05-c3dfb4313e36,Ahn Jae Hong,Fight for My Way,Kim Joo Man,Main Role
4054ff7d-9874-4fc0-b060-2aed71a3724e,Yeom Hye Ran,Mask Girl,Kim Kyung Ja,Main Role
4054ff7d-9874-4fc0-b060-2aed71a3724e,Yeom Hye Ran,The Uncanny Counter Season 2: Counter Punch,Chu Mae Ok,Main Role
4054ff7d-9874-4fc0-b060-2aed71a3724e,Yeom Hye Ran,The Glory Part 2,Kang Hyun Nam,Main Role
4054ff7d-9874-4fc0-b060-2aed71a3724e,Yeom Hye Ran,The Glory,Kang Hyun Nam,Main Role
4054ff7d-9874-4fc0-b060-2aed71a3724e,Yeom Hye Ran,The Uncanny Counter,Chu Mae Ok,Main Role
4054ff7d-9874-4fc0-b060-2aed71a3724e,Yeom Hye Ran,When the Camellia Blooms,Hong Ja Young [Gyu Tae's wife / Divorce lawyer],Support Role
cbdcd536-8802-497f-909a-9e7128d6b15e,Shin Ye Seo,Mask Girl,Kim Mi Mo,Support Role
6f152ea8-bfea-4b94-a9ac-8d66ffcee124,Namkoong Min,My Dearest,Lee Jang Hyun,Main Role
6f152ea8-bfea-4b94-a9ac-8d66ffcee124,Namkoong Min,One Dollar Lawyer,Chun Ji Hoon,Main Role
6f152ea8-bfea-4b94-a9ac-8d66ffcee124,Namkoong Min,The Veil,Han Ji Hyuk,Main Role
6f152ea8-bfea-4b94-a9ac-8d66ffcee124,Namkoong Min,Awaken,Do Jung Woo,Main Role
