actor_id,actor_name,drama_name,character_name,role
6bfcdb66-abbe-4707-9120-dc0ff0a902d7,Mai Davika Hoorne,6ixtynin9,"""Toom"" Monruedee Sanphan",Main Role
6bfcdb66-abbe-4707-9120-dc0ff0a902d7,Mai Davika Hoorne,Love Hurts,Wenika,Main Role
6bfcdb66-abbe-4707-9120-dc0ff0a902d7,Mai Davika Hoorne,Astrophile,Nubdao,Main Role
6bfcdb66-abbe-4707-9120-dc0ff0a902d7,Mai Davika Hoorne,You Are My Heartbeat,"""Kanghan"" / Kheetika",Main Role
6bfcdb66-abbe-4707-9120-dc0ff0a902d7,Mai Davika Hoorne,Wanthong,Wanthong,Main Role
6bfcdb66-abbe-4707-9120-dc0ff0a902d7,Mai Davika Hoorne,My Ambulance,Tantawan,Main Role
6bfcdb66-abbe-4707-9120-dc0ff0a902d7,Mai Davika Hoorne,Nang Sao Mai Jam Kad Nam Sakul,Riam,Main Role
6bfcdb66-abbe-4707-9120-dc0ff0a902d7,Mai Davika Hoorne,Chai Mai Jing Ying Tae,"Sarin Mungman / ""Rin"" / Saranya / ""Zin""",Main Role
6bfcdb66-abbe-4707-9120-dc0ff0a902d7,Mai Davika Hoorne,Buang Banjathorn,Praenuan,Main Role
6bfcdb66-abbe-4707-9120-dc0ff0a902d7,Mai Davika Hoorne,Plerng Naree,Princess Pririsa / Risa,Main Role
6bfcdb66-abbe-4707-9120-dc0ff0a902d7,Mai Davika Hoorne,Nang Chada,Rinlanee,Main Role
e4fb9386-21bf-4b5e-82db-0d91163767d4,Amorneak Micheli,6ixtynin9,Kanchit,Support Role
0fa2be59-0546-4345-8037-3a54feac5d14,Jade Apivich Rinthapoln,6ixtynin9,Tong / Suwat,Support Role
9a33aa4f-71a3-41ca-b50c-59bd4497ec05,Mine Thanaporn Rattanasasiwimon,6ixtynin9,Jim,Support Role
1106a968-3edc-4f77-9534-56677fcdfd9c,Man Trisanu Soranun,6ixtynin9,John,Support Role
1106a968-3edc-4f77-9534-56677fcdfd9c,Man Trisanu Soranun,Step by Step: Uncut Version,"""Jeng"" Kittipong Attajiranon",Main Role
1106a968-3edc-4f77-9534-56677fcdfd9c,Man Trisanu Soranun,Step by Step,"""Jeng"" Kittipong Attajiranon",Main Role
1106a968-3edc-4f77-9534-56677fcdfd9c,Man Trisanu Soranun,Pha Dong Payak,Rawi,Main Role
8f8b38bb-7805-41eb-8275-d8206248b4ef,Pluto Pruet Nakprad,6ixtynin9,[Nerdy boy],Support Role
e5f281d6-7c45-42a3-8b2d-7a4d87ce92fe,Night Yodsakon Khamnang,Her,Dido,Support Role
c255a00b-3905-40f6-8707-0e87623500fc,Yada Narilya Gulmongkolpech,Love in a Cage,Soi-inthanin,Main Role
c255a00b-3905-40f6-8707-0e87623500fc,Yada Narilya Gulmongkolpech,The Wife,Nudee,Support Role
c255a00b-3905-40f6-8707-0e87623500fc,Yada Narilya Gulmongkolpech,Dark App,Ploy,Main Role
c255a00b-3905-40f6-8707-0e87623500fc,Yada Narilya Gulmongkolpech,Sweet Secret,Chocco,Main Role
c255a00b-3905-40f6-8707-0e87623500fc,Yada Narilya Gulmongkolpech,The Gifted Detective,Ployfon,Support Role
c255a00b-3905-40f6-8707-0e87623500fc,Yada Narilya Gulmongkolpech,Diamond Eyes 2,Zin,Support Role
c255a00b-3905-40f6-8707-0e87623500fc,Yada Narilya Gulmongkolpech,Love Songs Love Series: Ja Rak Rue Ja Rai,Bingsu,Main Role
