Name,Episodes,Released Year,Language,Rating,Ranking
Informa,10,2023,Japanese,7.6,4666
Gen Z,40,2023,Chinese,8.2,1166
The Princess Wei Young,54,2016,Chinese,8.3,815
When a Snail Falls in Love,21,2016,Chinese,8.2,1483
Liar,8,2022,Japanese,7.3,7050
Super Daddy Yeol,16,2015,Korean,7.6,4961
Rahut Rissaya,12,2007,Thai,7.3,6751
Melody of Love,151,2013,Korean,6.8,8675
His - Koisuru Tsumori Nante Nakatta,5,2019,Japanese,7.8,3028
Switch On,24,2021,Thai,7.5,5505
Miss Truth,36,2020,Chinese,7.8,3410
The Duo,32,2011,Korean,7.3,7209
Kidnapping Game,12,2020,Chinese,7.9,2629
The Lost Tomb 2: Explore With the Note,24,2021,Chinese,7.6,5007
A-Teen,24,2018,Korean,8.1,1846
Robber,16,2008,Korean,7.2,7521
Crow's Blood,6,2016,Japanese,7.2,7396
Ishiko to Haneo: Sonna Koto de Uttaemasu?,10,2022,Japanese,8.1,1917
The Tale of Nokdu,32,2019,Korean,8.3,922
Circle of Love,24,2023,Chinese,7.3,6991
The Rules of Love Season 2,12,2019,Chinese,7.6,5140
"It's Okay, That's Love",16,2014,Korean,8.6,341
School 2021,16,2021,Korean,7.9,2486
I Know Your Secret,34,2019,Chinese,7.5,5320
Black,18,2017,Korean,8.0,1974
Lost in 1949,46,2018,Chinese,7.8,3084
Borg Mom,22,2017,Korean,7.3,7179
Legend of Hyang Dan,2,2007,Korean,7.0,8194
Dear Herbal Lord,24,2020,Chinese,7.7,3821
Love Generation,11,1997,Japanese,7.6,4686
Natsu no Koi wa Nijiiro ni Kagayaku,10,2010,Japanese,7.3,6777
Falsify,32,2017,Korean,7.9,2428
Kamen Rider W,49,2009,Japanese,8.5,527
Kamen Rider Fourze,48,2011,Japanese,8.0,1989
Draw the Line,40,2022,Chinese,8.0,2265
Suddenly This Summer,30,2018,Chinese,7.6,4903
She Is the One,24,2021,Chinese,7.5,5261
Golden Rainbow,41,2013,Korean,7.4,5968
Secret Mother,32,2018,Korean,8.0,2337
Revive,16,2016,Chinese,7.7,4279
I Need Romance,16,2021,Thai,7.7,4287
Yasashii Jikan,11,2005,Japanese,7.5,5205
Project 17: Side By Side,12,2019,Chinese,7.8,3146
